,file_name,igt,merge,#gt,#pred,iou_score,dice_score,over_seg,under_seg,area_gt,area_pred,intersection,union,>0.25,>0.1,>0,>0.5
0,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0001_2018-12-03_S0002_T0000_1.2.392.200036.9116.2.6.1.48.1221398285.1543809007.526566.raw,1,0,1,1,0.336672738,0.503747445,1.899647887,0.023767606,1136,3267,1109,3294,1.00,1.00,1.00,1.00
1,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0002_2019-01-02_S0007_T0000_1.2.840.113619.2.358.3.1930038689.813.1546405101.333.7.raw,1,0,1,6,0.698195489,0.822279288,0.390922401,0.028864254,4781,6512,4643,6650,1.00,1.00,1.00,1.00
2,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0002_2019-01-02_S0007_T0002_1.2.840.113619.2.358.3.1930038689.813.1546405101.333.7.raw,1,0,1,6,0.454926625,0.625360231,1.151071026,0.021420519,887,1889,868,1908,1.00,1.00,1.00,1.00
3,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0000_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.221177433,0.362236358,3.298769772,0.049209139,569,2418,541,2446,1.00,1.00,1.00,0.00
4,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0001_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.278169014,0.435261708,0.061682243,0.704672897,1605,573,474,1704,1.00,1.00,1.00,0.00
5,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0002_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.13631923,0.239931221,5.894818653,0.060103627,1930,13191,1814,13307,0.00,1.00,1.00,0.00
6,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0003_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.042301569,0.08116954,22.63978495,0,558,13191,558,13191,0.00,0.00,1.00,0.00
7,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0004_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.022970207,0.044908848,42.53465347,0,303,13191,303,13191,0.00,0.00,1.00,0.00
8,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0005_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.55664488,0.715185444,0.138957816,0.366004963,806,623,511,918,1.00,1.00,1.00,1.00
9,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0003_2019-10-07_S0002_T0006_1.2.840.113619.2.404.3.1879719828.77.1570440092.131.raw,1,0,1,8,0.481303931,0.649838188,0.582701062,0.238239757,659,886,502,1043,1.00,1.00,1.00,1.00
10,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0004_2019-03-04_S0016_T0000_1.2.840.113619.2.311.210774035936473802520286308482082015317.raw,1,0,1,6,0.43947102,0.610600719,0.768694441,0.22271005,221162,341913,171907,391168,1.00,1.00,1.00,1.00
